OBJECTID,Pack,Year,PackID,PackStatus,ShapeSTArea,ShapeSTLength
1,Carpenter Ridge,2017,1,,4875668275.95077,255822.656769233
2,Dirty Shirt,2017,2,,17655286934.7831,499624.15932403
3,Goodman Meadows,2017,3,,10538772611.2723,466552.132889447
4,Loup Loup,2017,4,,32448632521.4706,718293.744840963
5,Leadpoint,2017,5,,4388424381.897,253941.50362104
6,Skagit,2017,6,,3538544424.04341,223360.344813423
7,Smackout,2017,7,,9957491958.61375,384818.43114779
8,Stranger,2017,8,,4112983230.73302,280186.665966457
9,Teanaway,2017,9,,8461626659.69662,383106.731940115
10,Touchet,2017,10,,3377417120.3422,224102.668352365
11,Tucannon,2017,11,,10702142274.1667,388278.331204475
12,Nc'icn,2017,12,,14348703527.6407,468140.857690888
13,Strawberry,2017,13,,13646068060.2594,483066.093847665
14,Togo,2017,14,,5610916092.64477,265569.243273528
15,Salmo,2017,15,,5610878811.63827,265568.361001811
16,Five Sisters,2017,16,,5604652489.24843,265420.971148446
17,Grouse Flats,2017,17,,5601904024.36339,265355.883288103
18,Beaver Creek,2017,18,,5610562501.49235,265560.875262598
19,Lookout,2017,19,,5605843641.56454,265449.174503543
20,Wedge,2017,20,,5610936119.84187,265569.717224908
21,Huckleberry,2017,21,,5605401145.59668,265438.697712259
22,Whitestone,2017,22,,5604576237.89126,265419.165614724
23,Frosty,2017,23,,5605580767.91538,265442.950604358
24,Strawberry,2016,13,,17727442661.1061,508512.69161166
25,"Nc""icn",2016,12,,17189165081.9692,518215.426413431
26,Whitestone,2016,22,,5720462532.26958,268115.312631822
27,Wedge,2016,20,,5727404831.93083,268277.954415667
28,Tucannon,2016,11,,5718673846.57299,268073.391937774
29,Touchet,2016,10,,6568467635.56464,302192.077651567
30,Teanaway,2016,9,,3353903742.20731,239988.654039551
31,Huckleberry,2016,21,,11666723870.3152,431161.749803557
32,Stranger,2016,8,,6009714816.02076,352028.67600724
33,Salmo,2016,15,,5728360701.48648,268300.340473398
34,Smackout,2016,7,,8894237661.01192,363738.92384527
35,Skookum,2016,27,,5723754553.0739,268192.449247327
36,Sherman,2016,26,,6546624725.42243,313516.558138899
37,Profanity Peak,2016,25,,7642760023.38297,323684.980898987
38,Loup Loup,2016,4,,16174440456.1773,520252.238890996
39,Lookout,2016,19,,5714820789.80798,267983.067146882
40,Goodman Meadows,2016,3,,7957697355.77516,365871.682073694
41,Carpenter Ridge,2016,1,,5722712688.29296,268168.039309645
42,Dirty Shirt,2016,2,,13026387180.7318,438570.889146331
43,Beaver Creek,2016,18,,5724385915.63277,268207.240412846
44,Whitestone,2015,22,,5720462532.26958,268115.312631822
45,Wedge,2015,20,,5727404831.93083,268277.954415667
46,Tucannon,2015,11,,11371122090.6015,437384.921657355
47,Teanaway,2015,9,,18647947171.8345,527950.60371231
48,Strawberry,2015,13,,8701347372.61313,382934.476515394
49,Stranger,2015,8,,7820946950.16326,392240.723752851
50,Smackout,2015,7,,8612075529.6664,376473.994595309
51,Skookum,2015,27,,5723754553.0739,268192.449247327
52,Salmo,2015,15,,5728360701.48648,268300.340473398
53,Profanity Peak,2015,25,,11499102819.0345,462602.726064134
54,Nc'icn,2015,12,,5722456468.50794,268162.035974321
55,Loup Loup,2015,4,,5717695192.431,268050.452846696
56,Lookout,2015,19,,6376486063.65843,308413.378078342
57,Huckleberry,2015,21,,8935467262.16435,394847.130194392
58,Goodman Meadows,2015,3,,7175888110.02524,366345.236717053
59,Dirty Shirt,2015,2,,8355964360.48246,349730.632864745
60,Carpenter Ridge,2015,1,,5722736151.61712,268168.589058297
61,Beaver Creek,2015,18,,5724385915.63277,268207.240412846
62,Carpenter Ridge,2014,1,,5722736151.61712,268168.589058297
63,Diamond,2014,24,,11176053978.621,419692.356498426
64,Dirty Shirt,2014,2,,2797338878.40347,212973.021222611
65,Goodman Meadows,2014,3,,5595377002.24549,304644.222507519
66,Huckleberry,2014,21,,8935467262.16435,394847.130194392
67,Lookout,2014,19,,9337062918.01099,404521.291802565
68,Nc'icn,2014,12,,7199900249.13306,328026.038755743
69,Profanity Peak,2014,25,,5724932057.26207,268220.034417984
70,Salmo,2014,15,,5688664333.86802,285628.194437419
71,Smackout,2014,7,,3468919401.91759,234769.465540605
72,Strawberry,2014,13,,7602624626.79949,351492.257983221
73,Teanaway,2014,9,,8819215030.09991,384288.095916721
74,Tucannon,2014,11,,23810216956.0464,623992.613505421
75,Wedge,2014,20,,5727404831.93083,268277.954415667
76,Wenatchee,2014,28,,5709714948.01591,267863.327180469
77,Whitestone,2014,22,,5720462532.26958,268115.312631822
78,Carpenter Ridge,2018,1,,14377340771.4102,504061.371989033
79,Dirty Shirt,2018,2,,14373987256.7014,454763.495588904
80,Goodman Meadows,2018,3,,6317636521.52461,310980.9143802
81,Stranger,2018,8,,5770481359.80983,329867.632438858
82,Leadpoint,2018,5,,2082772589.93761,207620.705395768
83,Loup Loup,2018,4,,21445701825.5119,554589.546215414
84,Touchet,2018,10,,3024393100.27738,217094.073924486
85,OPT,2018,25,,6001053942.97405,286335.873399023
86,Diobsud Creek,2018,6,,11581247598.0575,408489.301002122
87,Smackout,2018,7,,12032674043.5702,426223.17853102
88,Teanaway,2018,9,,4439050945.19234,259746.778612422
89,Togo,2018,14,,1595449603.12351,170540.583228475
90,Butte Creek,2018,29,,3008118141.61925,217935.281649624
91,Tucannon,2018,11,,8864357366.98721,360749.88416706
92,Strawberry,2018,13,,13458571775.2679,481486.068952732
93,Nc'icn,2018,12,,14297476361.716,466870.654785788
94,Frosty,2018,23,,6191969633.36086,278946.173692409
95,Whitestone,2018,22,,6191969630.94993,278946.173638101
96,Huckleberry,2018,21,,6191969633.07268,278946.173685918
98,Grouse Flats,2018,17,,6191969631.20099,278946.173643756
99,Salmo,2018,15,,6191969630.4224,278946.173626219
100,Beaver Creek,2018,18,,6191969632.20757,278946.173666428
101,Wedge,2018,20,,6191969632.4314,278946.173671472
102,Naneum,2018,30,,6191969631.79593,278946.173657156
103,Lookout,2018,19,,6191969632.62184,278946.173675761
104,Sherman,2018,26,,6191969631.69137,278946.173654804
105,Nason,2018,31,,4276494626.3578,320393.169771056
106,Huckleberry,2019,21,,7439426429.18454,332705.746304084
107,Butte Creek,2019,29,,1074940955.3046,138199.199644762
108,Carpenter Ridge,2019,1,,17016653720.4339,539742.276658084
109,Diobsud Creek,2019,6,,3844562640.7441,264594.003047626
110,Dirty Shirt,2019,2,,10939775334.5084,401314.19616102
111,Goodman Meadows,2019,3,,5155538624.3395,283295.684900808
112,Grouse Flats,2019,17,,3250250054.7841,238575.879677994
113,Lookout,2019,19,,14506647334.1521,487989.499437757
114,Loup Loup,2019,4,,14713363008.4425,457363.347854243
115,Smackout,2019,7,,10870760436.6204,400639.887838917
116,Stranger,2019,8,,6709864992.22689,325935.658772066
117,Teanaway,2019,9,,6486035771.71357,306532.117374745
118,Touchet,2019,10,,4393006396.43642,267837.635902017
119,Frosty,2019,23,,6191969633.36086,278946.173692409
120,Whitestone,2019,22,,6191969630.94993,278946.173638101
121,Tucannon,2019,11,,6191969631.20099,278946.173643756
122,Salmo,2019,15,,6191969630.4224,278946.173626219
123,Beaver Creek,2019,18,,6191969632.20757,278946.173666428
124,Wedge,2019,20,,6191969632.4314,278946.173671472
125,Naneum,2019,30,,6191969631.79593,278946.173657156
126,Sullivan Creek,2019,32,,6191969632.62184,278946.173675761
127,Nason,2019,31,,6191969632.62184,278946.173675761
128,Strawberry,2019,13,,6191969632.62184,278946.173675761
129,Leadpoint,2019,5,,6191969632.62184,278946.173675761
130,Togo,2019,14,,6191969632.62184,278946.173675761
131,Nc'icn,2019,12,,6191969633.36086,278946.173692409
132,Kettle,2019,33,,6191969632.20757,278946.173666428
133,Carpenter Ridge,2020,1,,12398680716.7192,464644.344268237
134,Onion Creek,2020,35,,4295149483.10798,260781.761221244
135,Goodman Meadows,2020,3,,10003537016.8841,448048.256188665
136,Grouse Flats,2020,17,,4100041308.14653,256883.358287155
137,Leadpoint,2020,5,,4452234919.21489,256000.106407375
138,Lookout,2020,19,,11170171512.2763,443889.442533885
139,Loup Loup,2020,4,,18299754760.0281,528642.750299732
140,Naneum,2020,30,,16336464716.8224,502236.444972039
141,Skookum,2020,36,,2819987709.24011,217541.879478494
142,Smackout,2020,7,,6746169899.8241,313151.020325813
143,Teanaway,2020,9,,7026314291.80289,326698.327902338
144,Touchet,2020,10,,5965072129.30205,299986.186148974
145,Wedge,2020,20,,2693161157.4834,207031.022097366
146,Frosty,2020,23,,6191969633.36086,278946.173692409
147,Whitestone,2020,22,,6191969630.94993,278946.173638101
148,Salmo,2020,15,,6191969630.4224,278946.173626219
149,Beaver Creek,2020,18,,6191969632.20757,278946.173666428
150,Sullivan Creek,2020,32,,6191969632.62184,278946.173675761
151,Nason,2020,31,,6191969632.62184,278946.173675761
152,Strawberry,2020,13,,6191969632.62184,278946.173675761
153,Togo,2020,14,,6191969632.62184,278946.173675761
154,Nc'icn,2020,12,,6191969633.36086,278946.173692409
155,Kettle,2020,33,,6191969632.20757,278946.173666428
156,Tucannon,2020,11,,6191969630.94993,278946.173638101
157,Butte Creek,2020,29,,6191969630.94993,278946.173638101
158,Stranger,2020,8,,6191969630.94993,278946.173638101
159,Navarre,2020,34,,6191969630.94993,278946.173638101
160,Vulcan,2020,37,,6191969630.94993,278946.173638101
161,Diobsud Creek,2020,6,,6191969630.94993,278946.173638101
162,Dirty Shirt,2020,2,,6191969630.94993,278946.173638101
163,Huckleberry,2020,21,,5137463640.03529,309603.672231903
164,Huckleberry,2021,21,,5379393636.88889,260033.053206952
165,Sherman,2021,26,,5382128776.03637,260099.151381788
166,Goodman Meadows,2021,3,,5382553755.14372,260109.420043874
167,Salmo,2021,15,,5384389928.35047,260153.782371258
168,Beaver Creek,2021,18,,5384519940.32787,260156.923200954
169,Tucannon,2021,11,,5375996520.43926,259950.934093752
170,Butte Creek,2021,29,,5376252350.26465,259957.119217828
171,Stranger,2021,8,,5381181195.15241,260076.253766032
172,Wedge,2021,20,,5385361021.06872,260177.241115671
173,Dominion,2021,39,,5382354655.85125,260104.609308781
174,Shady Pass,2021,41,,5378770756.0869,260017.998137849
175,Whitestone,2021,22,,5943002909.10394,279637.280376566
176,Strawberry,2021,13,,6323213535.17841,281886.912865314
177,Nc'icn,2021,12,,6342188531.33538,333031.914164617
178,Nason,2021,31,,6895215587.04987,309126.895991817
179,Keller Ridge,2021,40,,5273702463.05539,307290.574870612
180,Frosty,2021,23,,5550864846.84815,301616.52377706
181,Diobsud Creek,2021,6,,5383172560.66047,260124.371359348
182,Carpenter Ridge,2021,1,,4600923483.68629,258253.697397884
183,Dirty Shirt,2021,2,,7694726286.35476,338464.657439479
184,Onion Creek,2021,35,,5099514809.65035,272453.189773973
185,Vulcan,2021,37,,1631072050.25038,152738.436547935
186,Touchet,2021,10,,5249924336.47847,296495.366081272
187,Togo,2021,14,,7139896543.34311,333240.345989092
188,Teanaway,2021,9,,6012343821.33176,305541.781668009
189,Sullivan Creek,2021,32,,3460713483.66568,223118.51034658
190,Smackout,2021,7,,5469001760.20792,279047.986604805
191,Skookum,2021,36,,612837777.385995,101152.027202098
192,Navarre,2021,34,,2415021236.82992,193626.597939553
193,Loup Loup,2021,4,,12111424696.4975,412345.09918341
194,Lookout,2021,19,,2857618672.12089,205406.901649803
195,Leadpoint,2021,5,,4772030133.74962,253980.680716285
196,Grouse Flats,2021,17,,8501391041.94422,348742.550365822
197,Columbia,2021,38,,1247397859.84147,132467.314079581
198,Big Muddy,2022,42,Nonbreeding Pack,13250653833.4078,447673.369047239
199,Carpenter Ridge,2022,1,Breeding Pairs,2866451757.79181,208666.197572098
200,Columbia,2022,38,Nonbreeding Pack,1247028592.6816,135662.013404667
201,Dirty Shirt,2022,2,Breeding Pairs,8197461409.32766,347557.83646474
202,Dominion,2022,39,Breeding Pairs,1373520923.82858,143307.399883236
203,Grouse Flats,2022,17,Breeding Pairs,6569007108.60117,333635.627899566
204,Leadpoint,2022,5,Nonbreeding Pack,7743724096.40288,374077.282650573
205,Lookout,2022,19,Breeding Pairs,5100757860.76191,308272.086457498
206,Loup Loup,2022,4,Breeding Pairs,5747455297.61654,296577.346125021
207,Navarre,2022,34,Breeding Pairs,3148694804.87114,229688.199531806
208,Onion Creek,2022,35,Breeding Pairs,5152165366.84428,281805.293095202
209,Shady Pass,2022,41,Breeding Pairs,8771962442.47037,443684.047577945
210,Smackout,2022,7,Breeding Pairs,4938074069.63947,277540.141433598
211,Stranger,2022,8,Breeding Pairs,1916866278.39263,178769.215244245
212,Sullivan Creek,2022,32,Breeding Pairs,3819109342.23495,238125.444957955
213,Teanaway,2022,9,Single Wolf Territory,12935562044.3808,500894.001603312
214,Togo,2022,14,Breeding Pairs,5337951739.72715,276085.429358582
215,Tucannon,2022,11,Breeding Pairs,5962179226.21278,313877.77105604
216,Vulcan,2022,37,Breeding Pairs,1068103939.94421,126322.462757201
217,Napeequa,2022,48,Nonbreeding Pack,2749971449.11257,228273.006329974
218,Sherman,2022,26,Nonbreeding Pack,5393791673.86256,260380.81207334
219,Goodman Meadows,2022,3,Breeding Pairs,5394217537.89988,260391.090986773
220,Salmo,2022,15,Nonbreeding Pack,5396057686.07774,260435.501258677
221,Beaver Creek,2022,18,Single Wolf Territory,5396188048.22572,260438.647141128
222,Wedge,2022,20,Nonbreeding Pack,5397030917.9226,260458.986246316
223,Diobsud Creek,2022,6,Single Wolf Territory,5394837830.4773,260406.062019831
224,Huckleberry,2022,21,Nonbreeding Pack,5391050585.88955,260314.641792999
225,Mt. Spokane,2022,47,Breeding Pairs,5390604054.48113,260303.860863658
226,Maverick,2022,46,Nonbreeding Pack,5389325011.83562,260272.977544487
227,Five Sisters,2022,45,Nonbreeding Pack,5390705400.67523,260306.307776972
228,Chopaka,2022,44,Breeding Pairs,5396562295.18637,260447.678209126
229,Chewuch,2022,43,Breeding Pairs,5394447161.33966,260396.633149412
230,Touchet,2022,10,Breeding Pairs,5387852937.61033,260237.428815422
231,Strawberry,2022,13,Breeding Pairs,10857954844.977,507242.06430225
232,Keller Ridge,2022,40,Breeding Pairs,2654809614.5999,228445.257621715
233,Nc'icn,2022,12,Breeding Pairs,6533174544.57745,366017.067639311
234,Wilmont,2022,50,Breeding Pairs,6636418389.77961,334016.362703475
235,Whitestone,2022,20,Breeding Pairs,5665750982.3626,330968.965882288
236,Frosty,2022,23,Breeding Pairs,2887643927.27573,228401.173963022
237,Sprague Lake,2022,49,Single Wolf Territory,5388254447.52951,260247.125253301
238,Butte Creek,2022,29,Breeding Pairs,5387902455.93786,260238.624699273
